"trans_id","prop_address","prop_city","prop_zip","prop_latitude","prop_longitude","prop_census","parcel_id","sale_date","sale_price","lot_sqft","property_land_use","year_built","total_bedrooms","total_baths","airconditioning_type","prop_fireplace","prop_sqft","year","building_age"
566862343,"14 W 14th St","Manhattan",10011,40.736164,-73.994738,360610063001000,90511751,2022-03-22,745000,5162.5,106,2008,NA,NA,NA,NA,525,2022,14
566862346,"447 E 57th St","Manhattan",10022,40.757907,-73.961238,360610106012000,160534440,2022-03-31,5850000,NA,107,1928,4,4.5,NA,NA,NA,2022,94
566862347,"23 W 73rd St","Manhattan",10023,40.777689,-73.976728,360610157001000,201377648,2022-03-30,2100000,NA,107,1926,2,2,NA,NA,NA,2022,96
566862348,"524 E 72nd St","Manhattan",10021,40.766042,-73.952338,360610124007001,90595276,2022-04-08,1900000,25500,106,1989,NA,NA,NA,NA,1090,2022,33
566862349,"444 E 75th St","Manhattan",10021,40.76879,-73.952555,360610132004001,157750863,2022-03-25,565000,NA,107,1963,1,1,NA,NA,NA,2022,59
566862350,"1192 Park Ave","Manhattan",10128,40.785254,-73.954101,360610160012000,201377695,2022-03-31,1800000,NA,107,1926,2,3,NA,NA,NA,2022,96
566862355,"68 Bradhurst Ave","New York",10039,40.823438,-73.942582,360610259001004,90627702,2022-04-07,985000,44797.5,106,2005,NA,NA,NA,NA,1170,2022,17
566862364,"30 Park Pl","Manhattan",10007,40.712776,-74.009033,360610021001008,158166402,2022-03-31,11600000,29715,106,2008,NA,NA,NA,NA,3173,2022,14
566862368,"310 Riverside Dr","Manhattan",10025,40.800428,-73.971061,360610191002000,201377596,2022-04-04,345000,NA,107,1929,NA,1,NA,NA,NA,2022,93
566862369,"60 E End Ave","Manhattan",10028,40.772792,-73.946951,360610136008001,201377676,2022-04-04,2230000,NA,107,1973,4,4.5,NA,NA,2500,2022,49
566862371,"119 E 101st St","Manhattan",10029,40.789618,-73.949345,360610166004001,90609033,2022-03-31,900000,2624,106,1910,NA,NA,NA,NA,890,2022,112
566862373,"201 W 89th St","Manhattan",10024,40.789858,-73.973934,360610175006000,201377619,2022-04-05,712500,NA,107,1925,NA,NA,NA,NA,NA,2022,97
566862375,"10 W 15th St","Manhattan",10011,40.736964,-73.994055,360610052002006,162457079,2022-04-05,815000,NA,107,1964,NA,NA,NA,NA,NA,2022,58
566862376,"733 Park Ave","Manhattan",10021,40.770093,-73.964134,360610128003002,201377655,2022-03-24,5200000,NA,107,1972,NA,NA,NA,NA,NA,2022,50
566862377,"2 E 70th St","Manhattan",10021,40.770863,-73.967649,360610122004000,90584791,2022-04-06,11000000,5848.5,107,1927,NA,NA,NA,NA,71697,2022,95
566862378,"36 Gramercy Park E","Manhattan",10003,40.737558,-73.984933,360610050001000,90532034,2022-03-31,5100000,6800,106,1909,NA,NA,NA,NA,2077,2022,113
566862381,"260 W 22nd St","Manhattan",10011,40.744159,-73.99844,360610087004000,157624675,2022-04-06,2147500,NA,107,1905,3,2,NA,NA,NA,2022,117
566862382,"335 W 38th St","Manhattan",10018,40.755599,-73.993149,360610115001003,201377630,2022-03-31,1700000,NA,107,1925,2,2,NA,NA,4000,2022,97
566862388,"425 E 51st St","Manhattan",10022,40.75433,-73.964715,360610086033000,201377651,2022-04-05,580000,NA,107,1928,1,1,NA,NA,750,2022,94
566862389,"145 Nassau St","Manhattan",10038,40.711429,-74.006332,360610015011003,201377660,2022-04-05,1425000,NA,107,1886,2,2,NA,NA,1670,2022,136
566862391,"171 W 71st St","Manhattan",10023,40.777947,-73.981574,360610157007000,157774019,2022-04-11,1720000,NA,107,1902,2,1.5,NA,NA,NA,2022,120
566862393,"400 E 67th St","Manhattan",10065,40.764284,-73.958128,360610116001005,90593674,2022-04-03,2765000,NA,106,2006,NA,NA,NA,NA,1537,2022,16
566862407,"30 W 63rd St","Manhattan",10023,40.770769,-73.981573,360610149005000,90553641,2022-04-06,1954431,NA,106,1979,NA,NA,NA,NA,1343,2022,43
566862449,"350 W 53rd St","Manhattan",10019,40.764838,-73.98674,360610133005001,184159842,2022-02-28,1850000,NA,106,2005,NA,NA,NA,NA,1258,2022,17
566862451,"100 WEST 119TH STREET # 3B","Manhattan",10026,NA,NA,NA,90622034,2022-03-18,972000,NA,106,1910,NA,NA,NA,NA,1440,2022,112
566862452,"25 E 86th St","Manhattan",10028,40.781095,-73.958964,360610150023001,157637358,2022-03-31,2775000,NA,107,1926,NA,NA,NA,NA,NA,2022,96
566862456,"77 7th Ave","Manhattan",10011,40.738851,-73.99924,360610081004000,157751218,2022-03-29,1301000,NA,107,1963,1,1,NA,NA,NA,2022,59
566862458,"140 W 69th St","Manhattan",10023,40.775877,-73.981665,360610153002000,157680939,2022-04-04,425000,NA,107,1905,NA,1,NA,NA,NA,2022,117
566862461,"781 5th Ave","Manhattan",10022,40.764309,-73.97254,360610114012003,157738465,2022-04-05,550000,NA,107,1928,NA,NA,NA,NA,NA,2022,94
566862464,"300 E 64th St","Manhattan",10065,40.763464,-73.96181,360610110004000,158171247,2022-03-28,1325000,6302,106,1996,NA,NA,NA,NA,976,2022,26
566862467,"235 E 22nd St","New York",10010,40.737956,-73.982749,360610064001001,90534896,2022-04-11,1440000,32175,107,1931,NA,NA,NA,NA,321079,2022,91
566862468,"23 W 73rd St","Manhattan",10023,40.777689,-73.976728,360610157001000,157639717,2022-04-13,2250000,NA,107,1926,2,2,NA,NA,NA,2022,96
566862469,"313 E 56th St","Manhattan",10022,40.758507,-73.964892,360610108003000,157628259,2022-04-05,275000,NA,107,1901,NA,1,NA,NA,NA,2022,121
566862470,"303 E 8th St","Manhattan",10009,40.725602,-73.980026,360610026022000,157682392,2022-04-07,1225000,NA,107,1900,2,2,NA,NA,NA,2022,122
566862471,"35 Sutton Pl","Manhattan",10022,40.758305,-73.959474,360610106016001,201377610,2022-04-07,1185000,NA,107,1960,2,2,NA,NA,NA,2022,62
566862474,"60 Gramercy Park N","Manhattan",10010,40.738868,-73.986218,360610068003001,157673717,2022-04-11,1975000,NA,107,1928,2,1.5,NA,NA,NA,2022,94
566862475,"350 W 57th St","Manhattan",10019,40.767391,-73.985054,360610139006000,90547226,2022-04-07,1450000,NA,106,1931,NA,NA,NA,NA,1196,2022,91
566862476,"203 W 98th St","Manhattan",10025,40.79575,-73.969778,360610187006001,201377625,2022-04-01,408642,NA,107,1920,1,1,NA,NA,NA,2022,102
566862478,"482 Greenwich St","Manhattan",10013,40.725078,-74.009489,360610037001018,90512934,2022-03-24,4995000,NA,106,2011,NA,NA,NA,NA,2488,2022,11
566862480,"70 E 10th St","Manhattan",10003,40.731287,-73.991086,360610057001001,157766627,2022-04-11,2148000,NA,107,1960,2,2,NA,NA,NA,2022,62
566862484,"303 W 66th St","Manhattan",10023,40.776608,-73.987785,360610155005000,201377578,2022-04-06,650000,NA,107,1962,1,1,NA,NA,NA,2022,60
566862487,"70 Little West St","Manhattan",10004,40.707121,-74.016675,360610317044000,90482850,2022-04-06,734158,NA,106,2006,NA,NA,NA,NA,1311,2022,16
566862488,"16 W 16th St","Manhattan",10011,40.737662,-73.99375,360610054002000,157757320,2022-04-13,820000,NA,107,1964,1,1,NA,NA,NA,2022,58
566862490,"200 Chambers St","New York",10007,40.716499,-74.012299,360610021002002,90492451,2022-04-05,2390000,NA,106,2005,NA,NA,NA,NA,1260,2022,17
566862491,"15 Saint Marks Pl","Manhattan",10003,40.729355,-73.988841,360610038001000,90505034,2022-04-11,1050000,2933.58,106,1910,NA,NA,NA,NA,620,2022,112
566862492,"154 Attorney St","Manhattan",10002,40.720381,-73.983146,360610022011001,90500338,2022-03-25,1080000,NA,106,2004,NA,NA,NA,NA,837,2022,18
566862493,"11 E 87th St","Manhattan",10128,40.781971,-73.958765,360610150023000,201377612,2022-04-11,399000,NA,107,1954,NA,1,NA,NA,NA,2022,68
566862499,"160 W 12th St","Manhattan",10011,40.736551,-74.000005,360610071003000,158167453,2022-04-13,4100000,NA,106,2013,NA,NA,NA,NA,1586,2022,9
566862501,"340 W 57th St","Manhattan",10019,40.767173,-73.985076,360610139006000,90547090,2022-04-13,1525000,NA,106,1931,NA,NA,NA,NA,1196,2022,91
566862502,"157  Chambers St","New York",10007,40.716162,-74.010165,360610021002000,90492287,2022-04-05,3504000,7642,106,1931,NA,NA,NA,NA,1497,2022,91
566862503,"92 Laight St","Manhattan",10013,40.722584,-74.010988,360610039001016,90497085,2022-04-06,4300000,NA,106,2004,NA,NA,NA,NA,2128,2022,18
566862507,"9 Barrow St","Manhattan",10014,40.732606,-74.002279,360610067001000,90512337,2022-04-07,650000,9163.5,107,1930,NA,NA,NA,NA,58221,2022,92
566862508,"444 E 86th St","Manhattan",10028,40.776014,-73.947878,360610144012000,201377658,2022-04-06,1150000,NA,107,1973,1,2,NA,NA,NA,2022,49
566862509,"235 W 108th St","Manhattan",10025,40.8026,-73.966538,360610195003002,157723378,2022-03-29,995000,NA,107,1925,2,1,NA,NA,NA,2022,97
566862511,"121 W 20th St","Manhattan",10011,40.74156,-73.99487,360610087001001,90523376,2022-03-25,2600000,NA,106,1875,NA,NA,NA,NA,1232,2022,147
566862515,"345 E 69th St","Manhattan",10021,40.766075,-73.957633,360610126008000,157763634,2022-04-11,425000,NA,107,1963,NA,1,NA,NA,NA,2022,59
566862516,"7 E 14th St","Manhattan",10003,40.735853,-73.99251,360610052002006,157775387,2022-04-11,1680193,NA,107,1965,2,2,NA,NA,NA,2022,57
566862517,"138 Sullivan St","Manhattan",10012,40.726825,-74.002055,NA,201377629,2022-03-24,3900000,NA,107,1868,NA,NA,NA,NA,NA,2022,154
566862519,"392 Central Park W","New York",10025,40.794712,-73.965395,360610185001000,90616491,2022-04-11,655000,NA,106,1960,NA,NA,NA,NA,533,2022,62
566862522,"425 E 58th St","Manhattan",10022,40.758736,-73.960946,360610106011000,201377652,2022-04-12,1525000,NA,107,1975,2,2.5,NA,NA,1800,2022,47
566862524,"130 W 20th St","Manhattan",10011,40.741453,-73.995728,360610087001002,90523267,2022-04-12,970000,4600,106,2008,NA,NA,NA,NA,750,2022,14
566862525,"136 E 76th St","Manhattan",10021,40.773021,-73.960608,360610128004001,90587589,2022-04-12,1700000,11832,107,1961,NA,NA,NA,NA,105913,2022,61
