"","trans_id","prop_address","prop_city","prop_zip","prop_latitude","prop_longitude","prop_census","parcel_id","year","month","day","sale_price","trans_id.y","year_built","total_bedrooms","total_baths","age","prop_sqft"
"1531",404514006,"573 GRAND ST","NEW YORK","10002",40.713567,-73.97913,"360610002025003",157639819,2009,"09","30",477500,"8B646509-0000-0000-8CDD-000000000000",1955,2,1,54,1000
"1532",404514010,"573 GRAND ST","NEW YORK","10002",40.713567,-73.97913,"360610002025003",157639781,2009,"10","02",565000,"65646509-0000-0000-8CDD-000000000000",1955,2,1,54,1000
"1533",404514031,"41 PERRY ST","NEW YORK","10014",40.735754,-74.002811,"360610073006000",157639498,2009,"09","24",389000,"4A636509-0000-0000-8CDD-000000000000",1910,1,1,99,500
"1534",404514051,"75 PARK TER E","NEW YORK","10034",40.870934,-73.916155,"360610307002001",157639730,2009,"09","17",332500,"32646509-0000-0000-8CDD-000000000000",1939,2,1,70,975
"1535",404514071,"230 W 105TH ST","NEW YORK","10025",40.800103,-73.967384,"360610191005001",157639931,2009,"10","02",975000,"FB646509-0000-0000-8CDD-000000000000",1920,3,2,89,1400
"1536",404514103,"55 LIBERTY ST","NEW YORK","10005",40.7088,-74.009413,"360610015021008",157639562,2009,"10","05",837000,"8A636509-0000-0000-8CDD-000000000000",1911,3,2,98,1250
"1537",404514108,"196 E 75TH ST","NEW YORK","10021",40.771681,-73.959515,"360610128001002",157639796,2009,"08","28",725000,"74646509-0000-0000-8CDD-000000000000",1961,2,1,48,950
"1538",404514111,"644 BROADWAY","NEW YORK","10012",40.72659,-73.995575,"360610055022004",157639649,2009,"09","30",3400000,"E1636509-0000-0000-8CDD-000000000000",1900,4,3.5,109,2903
"1539",404514119,"1049 PARK AVE","NEW YORK","10028",40.780465,-73.956786,"360610148025000",157639644,2009,"09","11",1285000,"DC636509-0000-0000-8CDD-000000000000",1924,2,2,85,1550
"1540",404514132,"565 W END AVE","NEW YORK","10024",40.78993,-73.977297,"360610175002000",157619020,2009,"10","02",1650000,"4C136509-0000-0000-8CDD-000000000000",1938,2,2,71,1550
"1541",404514140,"128 W 70TH ST","NEW YORK","10023",40.776295,-73.980567,"360610153001000",157639891,2009,"09","25",363000,"D3646509-0000-0000-8CDD-000000000000",1900,1,1,109,445
"1542",404514175,"789 W END AVE","NEW YORK","10025",40.796904,-73.972215,"360610187002001",157639708,2009,"10","07",1900000,"1C646509-0000-0000-8CDD-000000000000",1916,3,2,93,2100
"1543",404514190,"424 E 57TH ST","NEW YORK","10022",40.757925,-73.962381,"360610106013000",157639554,2009,"10","05",1306000,"82636509-0000-0000-8CDD-000000000000",1925,3,2,84,2200
"1544",404514201,"15 W 67TH ST","NEW YORK","10023",40.77337,-73.978709,"360610153007000",157639528,2009,"10","08",815000,"68636509-0000-0000-8CDD-000000000000",1905,1,1,104,740
"1545",404514209,"116 PINEHURST AVE","NEW YORK","10033",40.851664,-73.939227,"360610273003000",158424495,2009,"10","07",662100,"AF5D7109-0000-0000-8CDD-000000000000",1925,2,1,84,1100
"1546",404514227,"644 BROADWAY","NEW YORK","10012",40.72659,-73.995575,"360610055022004",157639763,2009,"09","30",3435000,"53646509-0000-0000-8CDD-000000000000",1900,4,3.5,109,4000
"1547",404514233,"145 NASSAU ST","NEW YORK","10038",40.711453,-74.006415,"360610015011003",157639998,2009,"08","31",1603000,"3E656509-0000-0000-8CDD-000000000000",1886,3,2,123,1860
"1548",404514240,"140 E 72nd St","Manhattan","10021",40.770355,-73.962456,"360610128003001",157639739,2009,"09","22",2150000,"3B646509-0000-0000-8CDD-000000000000",1959,3,3,50,2000
"1549",404514247,"72 PARK TER W","NEW YORK","10034",40.871241,-73.917218,"360610307002001",157639731,2009,"10","06",3e+05,"33646509-0000-0000-8CDD-000000000000",1939,1,1,70,800
"1550",404514251,"145 E 15TH ST","NEW YORK","10003",40.734463,-73.98745,"360610050004000",157639652,2009,"10","05",499000,"E4636509-0000-0000-8CDD-000000000000",1959,1,1,50,750
"1551",404514252,"310 E 70TH ST","NEW YORK","10021",40.76722,-73.959039,"360610126008000",157639640,2009,"10","06",566000,"D8636509-0000-0000-8CDD-000000000000",1959,1,1,50,900
